date,PriceStats,CPI
20-08-2010,100.9842,99.63257
21-08-2010,100.9759,99.63257
22-08-2010,100.9447,99.63257
23-08-2010,100.9365,99.63257
24-08-2010,100.9171,99.63257
25-08-2010,100.8962,99.63257
26-08-2010,100.8761,99.63257
27-08-2010,100.8498,99.63257
28-08-2010,100.8121,99.63257
29-08-2010,100.7652,99.63257
30-08-2010,100.7723,99.63257
31-08-2010,100.7636,99.63257
01-09-2010,100.8309,99.77013
02-09-2010,100.8511,99.77013
03-09-2010,100.8506,99.77013
04-09-2010,100.8741,99.77013
05-09-2010,100.8863,99.77013
06-09-2010,100.8881,99.77013
07-09-2010,100.8852,99.77013
08-09-2010,100.8782,99.77013
09-09-2010,100.8802,99.77013
10-09-2010,100.8913,99.77013
11-09-2010,100.9035,99.77013
12-09-2010,100.925,99.77013
13-09-2010,100.9582,99.77013
14-09-2010,100.9947,99.77013
15-09-2010,101.094,99.77013
16-09-2010,101.1386,99.77013
17-09-2010,101.1425,99.77013
18-09-2010,101.1688,99.77013
19-09-2010,101.1333,99.77013
20-09-2010,101.1335,99.77013
21-09-2010,101.01,99.77013
22-09-2010,101.1248,99.77013
23-09-2010,101.1241,99.77013
24-09-2010,101.1006,99.77013
25-09-2010,101.0956,99.77013
26-09-2010,101.1096,99.77013
27-09-2010,101.0876,99.77013
28-09-2010,101.1167,99.77013
29-09-2010,101.097,99.77013
30-09-2010,101.1016,99.77013
01-10-2010,101.0824,99.82817
02-10-2010,101.079,99.82817
03-10-2010,101.1132,99.82817
04-10-2010,101.1137,99.82817
05-10-2010,101.1634,99.82817
06-10-2010,101.1895,99.82817
07-10-2010,101.2523,99.82817
08-10-2010,101.2999,99.82817
09-10-2010,101.328,99.82817
10-10-2010,101.3964,99.82817
11-10-2010,101.3991,99.82817
12-10-2010,101.4444,99.82817
13-10-2010,101.5394,99.82817
14-10-2010,101.5842,99.82817
15-10-2010,101.6089,99.82817
16-10-2010,101.6276,99.82817
17-10-2010,101.6397,99.82817
18-10-2010,101.634,99.82817
19-10-2010,101.6311,99.82817
20-10-2010,101.6731,99.82817
21-10-2010,101.6759,99.82817
22-10-2010,101.6252,99.82817
23-10-2010,101.6076,99.82817
24-10-2010,101.5676,99.82817
